 yes             v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(viout)        v(vtest)        v(vtest1)       v(vtest2)       v(vtest3)       v(vtest4)       v(vtest5)      
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.48165941e-12  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.23400563e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.23400563e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.77257743e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.23400563e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.77257743e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.77257743e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.99441897e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.23400563e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
 1.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.77257743e-05  9.01799109e-01  9.00684630e-01  9.00261160e-01  9.00099788e-01  9.00038360e-01  9.00015332e-01 
