 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.51547573e-06  7.03437308e-12 
 0.00000000e+00  1.51549764e-06  5.40037632e-08 
 1.80000000e+00  1.51548621e-06  5.92805094e-08 
 1.80000000e+00  1.51549729e-06  7.19515896e-08 
 0.00000000e+00  1.51549082e-06  7.13860686e-08 
 0.00000000e+00  1.51549355e-06  8.72043557e-08 
 1.80000000e+00  1.51549190e-06  9.18433471e-08 
 1.80000000e+00  1.51548440e-06  1.01853274e-07 
 0.00000000e+00  1.51548264e-06  1.03603952e-07 
 0.00000000e+00  1.51549396e-06  1.19212629e-07 
 1.80000000e+00  1.51548022e-06  1.27435882e-07 
 1.80000000e+00  1.51550221e-06  1.38403294e-07 
 0.00000000e+00  1.51549131e-06  1.45044069e-07 
 0.00000000e+00  1.51548285e-06  1.57389877e-07 
 1.80000000e+00  1.51551235e-06  1.65874951e-07 
 1.80000000e+00  1.51548153e-06  1.76666163e-07 
 0.00000000e+00  1.51549322e-06  1.86064838e-07 
 0.00000000e+00  1.51547990e-06  1.98230211e-07 
 1.80000000e+00  1.51549813e-06  2.08557054e-07 
 1.80000000e+00  1.51549329e-06  2.19472540e-07 
 0.00000000e+00  1.51547591e-06  2.29953486e-07 
 0.00000000e+00  1.51549409e-06  2.40409392e-07 
 1.80000000e+00  1.51547952e-06  2.51273306e-07 
 1.80000000e+00  1.51547410e-06  2.61944692e-07 
 0.00000000e+00  1.51548978e-06  2.73347126e-07 
 0.00000000e+00  1.51549086e-06  2.83314748e-07 
 1.80000000e+00  1.51549207e-06  2.94375155e-07 
 1.80000000e+00  1.51547306e-06  3.04745512e-07 
 0.00000000e+00  1.51549983e-06  3.16744305e-07 
 0.00000000e+00  1.51550319e-06  3.26672918e-07 
 1.80000000e+00  1.51549735e-06  3.38419170e-07 
 1.80000000e+00  1.51548474e-06  3.49269811e-07 
 0.00000000e+00  1.51548928e-06  3.62572138e-07 
 0.00000000e+00  1.51547145e-06  3.70974391e-07 
 1.80000000e+00  1.51547113e-06  3.82076266e-07 
 1.80000000e+00  1.51548881e-06  3.91517460e-07 
 0.00000000e+00  1.51547919e-06  4.04020682e-07 
 0.00000000e+00  1.51547484e-06  4.12591717e-07 
 1.80000000e+00  1.51548463e-06  4.24474365e-07 
 1.80000000e+00  1.51548357e-06  4.34644889e-07 
 0.00000000e+00  1.51546954e-06  4.48568869e-07 
 0.00000000e+00  1.51548284e-06  4.56205868e-07 
 1.80000000e+00  1.51547115e-06  4.67742510e-07 
 1.80000000e+00  1.51546543e-06  4.77144582e-07 
 0.00000000e+00  1.51546978e-06  4.91035067e-07 
 0.00000000e+00  1.51550529e-06  4.99163434e-07 
 1.80000000e+00  1.51546662e-06  5.12038042e-07 
 1.80000000e+00  1.51550565e-06  5.22559787e-07 
 0.00000000e+00  1.51551481e-06  5.38955987e-07 
 0.00000000e+00  1.51548020e-06  5.45375755e-07 
 1.80000000e+00  1.51546881e-06  5.56873957e-07 
 1.80000000e+00  1.51547925e-06  5.65633712e-07 
 0.00000000e+00  1.51547353e-06  5.79639220e-07 
 0.00000000e+00  1.51545476e-06  5.86916656e-07 
 1.80000000e+00  1.51547740e-06  5.99773145e-07 
 1.80000000e+00  1.51547228e-06  6.09832355e-07 
 0.00000000e+00  1.51549536e-06  6.25469440e-07 
 0.00000000e+00  1.51546386e-06  6.31732760e-07 
 1.80000000e+00  1.51547425e-06  6.43934129e-07 
 1.80000000e+00  1.51550858e-06  6.53124630e-07 
 0.00000000e+00  1.51547693e-06  6.68200272e-07 
 0.00000000e+00  1.51550197e-06  6.75871377e-07 
 1.80000000e+00  1.51550798e-06  6.89579778e-07 
 1.80000000e+00  1.51546812e-06  7.00205476e-07 
 0.00000000e+00  1.51545588e-06  7.16415087e-07 
 0.00000000e+00  1.51545597e-06  7.20777464e-07 
 1.80000000e+00  1.51545325e-06  7.31756600e-07 
 1.80000000e+00  1.51545579e-06  7.39254688e-07 
 0.00000000e+00  1.51545810e-06  7.53378316e-07 
 0.00000000e+00  1.51545927e-06  7.59134451e-07 
 1.80000000e+00  1.51545411e-06  7.71637531e-07 
 1.80000000e+00  1.51546607e-06  7.80658922e-07 
 0.00000000e+00  1.51548609e-06  7.96738718e-07 
 0.00000000e+00  1.51545246e-06  8.01181585e-07 
 1.80000000e+00  1.51545197e-06  8.12946709e-07 
 1.80000000e+00  1.51546383e-06  8.20821981e-07 
 0.00000000e+00  1.51545647e-06  8.36038410e-07 
 0.00000000e+00  1.51545151e-06  8.42109245e-07 
 1.80000000e+00  1.51545688e-06  8.55528896e-07 
 1.80000000e+00  1.51544931e-06  8.65175821e-07 
 0.00000000e+00  1.51547217e-06  8.83557178e-07 
 0.00000000e+00  1.51544372e-06  8.86885118e-07 
 1.80000000e+00  1.51549308e-06  8.97986382e-07 
 1.80000000e+00  1.51545127e-06  9.04983310e-07 
 0.00000000e+00  1.51544197e-06  9.20063883e-07 
 0.00000000e+00  1.51546230e-06  9.24815964e-07 
 1.80000000e+00  1.51545451e-06  9.38013883e-07 
 1.80000000e+00  1.51545464e-06  9.46760579e-07 
 0.00000000e+00  1.51543603e-06  9.64010155e-07 
 0.00000000e+00  1.51544154e-06  9.67523420e-07 
 1.80000000e+00  1.51544654e-06  9.79470386e-07 
 1.80000000e+00  1.51545125e-06  9.87150017e-07 
 0.00000000e+00  1.51545211e-06  1.00341028e-06 
 0.00000000e+00  1.51547192e-06  1.00885907e-06 
 1.80000000e+00  1.51543957e-06  1.02296728e-06 
 1.80000000e+00  1.51543446e-06  1.03267382e-06 
 0.00000000e+00  1.51543028e-06  1.05124877e-06 
 0.00000000e+00  1.51544232e-06  1.05241845e-06 
 1.80000000e+00  1.51545558e-06  1.06294284e-06 
 1.80000000e+00  1.51544895e-06  1.06857360e-06 
 0.00000000e+00  1.51546005e-06  1.08375700e-06 
 0.00000000e+00  1.51543635e-06  1.08669104e-06 
 1.80000000e+00  1.51546846e-06  1.09962319e-06 
 1.80000000e+00  1.51543852e-06  1.10728313e-06 
 0.00000000e+00  1.51543332e-06  1.12503437e-06 
 0.00000000e+00  1.51544327e-06  1.12633424e-06 
 1.80000000e+00  1.51543979e-06  1.13766666e-06 
 1.80000000e+00  1.51544041e-06  1.14382152e-06 
 0.00000000e+00  1.51543532e-06  1.16040447e-06 
 0.00000000e+00  1.51542402e-06  1.16349572e-06 
 1.80000000e+00  1.51542394e-06  1.17761729e-06 
 1.80000000e+00  1.51543014e-06  1.18610487e-06 
 0.00000000e+00  1.51543187e-06  1.20742745e-06 
 0.00000000e+00  1.51542056e-06  1.20581967e-06 
 1.80000000e+00  1.51542615e-06  1.21630049e-06 
 1.80000000e+00  1.51542820e-06  1.22052430e-06 
 0.00000000e+00  1.51543645e-06  1.23700342e-06 
 0.00000000e+00  1.51544456e-06  1.23756088e-06 
 1.80000000e+00  1.51541495e-06  1.25052131e-06 
 1.80000000e+00  1.51545319e-06  1.25736295e-06 
 0.00000000e+00  1.51542912e-06  1.27771700e-06 
 0.00000000e+00  1.51541551e-06  1.27394267e-06 
 1.80000000e+00  1.51545096e-06  1.28533190e-06 
 1.80000000e+00  1.51540939e-06  1.28788676e-06 
 0.00000000e+00  1.51540379e-06  1.30636454e-06 
 0.00000000e+00  1.51541985e-06  1.30399103e-06 
 1.80000000e+00  1.51541158e-06  1.31788637e-06 
 1.80000000e+00  1.51542002e-06  1.32285767e-06 
