 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.50277354e-06  1.42819090e-11 
 0.00000000e+00  1.50278531e-06  4.44156882e-07 
 1.80000000e+00  1.50275410e-06  4.50312839e-07 
 1.80000000e+00  1.50279649e-06  5.52627981e-07 
 0.00000000e+00  1.50279609e-06  4.61973940e-07 
 0.00000000e+00  1.50280179e-06  6.04139188e-07 
 1.80000000e+00  1.50279040e-06  5.70452428e-07 
 1.80000000e+00  1.50277914e-06  6.14453810e-07 
 0.00000000e+00  1.50278905e-06  4.87438356e-07 
 0.00000000e+00  1.50279433e-06  6.42506208e-07 
 1.80000000e+00  1.50279366e-06  6.31565683e-07 
 1.80000000e+00  1.50279514e-06  6.82313726e-07 
 0.00000000e+00  1.50279737e-06  6.04025587e-07 
 0.00000000e+00  1.50280015e-06  6.92131195e-07 
 1.80000000e+00  1.50279561e-06  6.52054354e-07 
 1.80000000e+00  1.50279681e-06  6.73413481e-07 
 0.00000000e+00  1.50280453e-06  5.37591916e-07 
 0.00000000e+00  1.50279276e-06  6.90386372e-07 
 1.80000000e+00  1.50280875e-06  6.88768964e-07 
 1.80000000e+00  1.50279978e-06  7.40611256e-07 
 0.00000000e+00  1.50279840e-06  6.83175656e-07 
 0.00000000e+00  1.50281048e-06  7.60194581e-07 
 1.80000000e+00  1.50279237e-06  7.36071996e-07 
 1.80000000e+00  1.50278824e-06  7.57291886e-07 
 0.00000000e+00  1.50279116e-06  6.71473884e-07 
 0.00000000e+00  1.50280250e-06  7.67970576e-07 
 1.80000000e+00  1.50280277e-06  7.55068712e-07 
 1.80000000e+00  1.50280790e-06  7.86481934e-07 
 0.00000000e+00  1.50279365e-06  7.26203751e-07 
 0.00000000e+00  1.50280412e-06  7.85550256e-07 
 1.80000000e+00  1.50280329e-06  7.49686478e-07 
 1.80000000e+00  1.50278788e-06  7.60509806e-07 
 0.00000000e+00  1.50280459e-06  6.40243215e-07 
 0.00000000e+00  1.50277319e-06  7.72953271e-07 
 1.80000000e+00  1.50281542e-06  7.76441013e-07 
 1.80000000e+00  1.50280100e-06  8.20994742e-07 
 0.00000000e+00  1.50279707e-06  7.79984859e-07 
 0.00000000e+00  1.50280785e-06  8.40740697e-07 
