 v1              i(Viin)         i(viout)       
 0.00000000e+00  1.51948733e-06  1.72803993e-11 
 0.00000000e+00  1.51952277e-06  3.47064741e-07 
 1.80000000e+00  1.51947766e-06  3.54998065e-07 
 1.80000000e+00  1.51949156e-06  4.52254270e-07 
 0.00000000e+00  1.51948556e-06  3.69635288e-07 
 0.00000000e+00  1.51949315e-06  5.06026538e-07 
 1.80000000e+00  1.51950202e-06  4.73531031e-07 
 1.80000000e+00  1.51949435e-06  5.20328115e-07 
 0.00000000e+00  1.51949303e-06  3.97290052e-07 
 0.00000000e+00  1.51949725e-06  5.52479378e-07 
 1.80000000e+00  1.51948400e-06  5.40634090e-07 
 1.80000000e+00  1.51950556e-06  6.00489514e-07 
 0.00000000e+00  1.51949210e-06  5.16487091e-07 
 0.00000000e+00  1.51949791e-06  6.13693487e-07 
 1.80000000e+00  1.51949895e-06  5.68642989e-07 
 1.80000000e+00  1.51948980e-06  5.93794709e-07 
 0.00000000e+00  1.51948774e-06  4.58635313e-07 
 0.00000000e+00  1.51952956e-06  6.16345616e-07 
 1.80000000e+00  1.51952867e-06  6.14635383e-07 
 1.80000000e+00  1.51951429e-06  6.76062697e-07 
 0.00000000e+00  1.51951049e-06  6.11561788e-07 
 0.00000000e+00  1.51952605e-06  7.03634498e-07 
 1.80000000e+00  1.51950644e-06  6.74553903e-07 
 1.80000000e+00  1.51953249e-06  7.03625631e-07 
 0.00000000e+00  1.51950135e-06  6.05218489e-07 
 0.00000000e+00  1.51951424e-06  7.16275295e-07 
 1.80000000e+00  1.51950920e-06  7.01514509e-07 
 1.80000000e+00  1.51951416e-06  7.42377424e-07 
 0.00000000e+00  1.51951124e-06  6.68700508e-07 
 0.00000000e+00  1.51949779e-06  7.41875624e-07 
 1.80000000e+00  1.51952202e-06  6.98594889e-07 
 1.80000000e+00  1.51952476e-06  7.13701994e-07 
 0.00000000e+00  1.51949533e-06  5.87087598e-07 
 0.00000000e+00  1.51950292e-06  7.30871676e-07 
 1.80000000e+00  1.51950765e-06  7.34555542e-07 
 1.80000000e+00  1.51949911e-06  7.89656752e-07 
 0.00000000e+00  1.51952509e-06  7.40992235e-07 
 0.00000000e+00  1.51951771e-06  8.19141192e-07 
 1.80000000e+00  1.51951609e-06  8.01649961e-07 
 1.80000000e+00  1.51951944e-06  8.26823324e-07 
 0.00000000e+00  1.51950469e-06  7.55147070e-07 
 0.00000000e+00  1.51953971e-06  8.45199608e-07 
 1.80000000e+00  1.51951853e-06  8.38219805e-07 
 1.80000000e+00  1.51950510e-06  8.70743051e-07 
 0.00000000e+00  1.51949885e-06  8.21632625e-07 
 0.00000000e+00  1.51951002e-06  8.78353617e-07 
 1.80000000e+00  1.51951443e-06  8.51970597e-07 
 1.80000000e+00  1.51951045e-06  8.66154267e-07 
 0.00000000e+00  1.51955479e-06  7.84643206e-07 
 0.00000000e+00  1.51952636e-06  8.78226842e-07 
 1.80000000e+00  1.51953266e-06  8.77834751e-07 
 1.80000000e+00  1.51952331e-06  9.13512665e-07 
 0.00000000e+00  1.51953580e-06  8.75074562e-07 
 0.00000000e+00  1.51953367e-06  9.28958229e-07 
 1.80000000e+00  1.51951902e-06  9.11669702e-07 
 1.80000000e+00  1.51952213e-06  9.27801608e-07 
 0.00000000e+00  1.51953854e-06  8.69826039e-07 
 0.00000000e+00  1.51953761e-06  9.36268322e-07 
 1.80000000e+00  1.51951427e-06  9.26763761e-07 
 1.80000000e+00  1.51956186e-06  9.51636736e-07 
 0.00000000e+00  1.51953554e-06  9.08002590e-07 
 0.00000000e+00  1.51952754e-06  9.52550621e-07 
 1.80000000e+00  1.51952412e-06  9.26449800e-07 
 1.80000000e+00  1.51951653e-06  9.34626470e-07 
 0.00000000e+00  1.51951591e-06  8.53916617e-07 
 0.00000000e+00  1.51953878e-06  9.49712415e-07 
 1.80000000e+00  1.51952904e-06  9.55606197e-07 
 1.80000000e+00  1.51952459e-06  9.89936765e-07 
 0.00000000e+00  1.51951434e-06  9.65693516e-07 
 0.00000000e+00  1.51952563e-06  1.01123739e-06 
 1.80000000e+00  1.51953512e-06  1.00477097e-06 
 1.80000000e+00  1.51954107e-06  1.02085299e-06 
 0.00000000e+00  1.51952349e-06  9.88326548e-07 
 0.00000000e+00  1.51951710e-06  1.03398347e-06 
 1.80000000e+00  1.51953614e-06  1.03499632e-06 
 1.80000000e+00  1.51952106e-06  1.05170277e-06 
 0.00000000e+00  1.51953745e-06  1.03479672e-06 
 0.00000000e+00  1.51951880e-06  1.06042781e-06 
 1.80000000e+00  1.51954147e-06  1.05380271e-06 
 1.80000000e+00  1.51954387e-06  1.06253789e-06 
 0.00000000e+00  1.51954420e-06  1.03518136e-06 
 0.00000000e+00  1.51955736e-06  1.07406892e-06 
 1.80000000e+00  1.51957380e-06  1.07710235e-06 
 1.80000000e+00  1.51951234e-06  1.08999954e-06 
 0.00000000e+00  1.51955705e-06  1.08407369e-06 
 0.00000000e+00  1.51951926e-06  1.10076138e-06 
 1.80000000e+00  1.51955605e-06  1.10062675e-06 
 1.80000000e+00  1.51952318e-06  1.10659469e-06 
 0.00000000e+00  1.51953363e-06  1.09688638e-06 
 0.00000000e+00  1.51955017e-06  1.11670646e-06 
 1.80000000e+00  1.51956252e-06  1.11875789e-06 
 1.80000000e+00  1.51954289e-06  1.12628412e-06 
 0.00000000e+00  1.51957252e-06  1.12291819e-06 
 0.00000000e+00  1.51952362e-06  1.13253820e-06 
 1.80000000e+00  1.51956051e-06  1.13401998e-06 
 1.80000000e+00  1.51955467e-06  1.13933821e-06 
 0.00000000e+00  1.51953084e-06  1.13366724e-06 
 0.00000000e+00  1.51952734e-06  1.14724936e-06 
 1.80000000e+00  1.51953138e-06  1.15180633e-06 
 1.80000000e+00  1.51952811e-06  1.15779483e-06 
 0.00000000e+00  1.51953775e-06  1.16121389e-06 
 0.00000000e+00  1.51952837e-06  1.16597299e-06 
 1.80000000e+00  1.51955285e-06  1.17070127e-06 
 1.80000000e+00  1.51953415e-06  1.17353427e-06 
 0.00000000e+00  1.51952810e-06  1.18089056e-06 
 0.00000000e+00  1.51953051e-06  1.18076861e-06 
 1.80000000e+00  1.51952446e-06  1.18520754e-06 
 1.80000000e+00  1.51954488e-06  1.18770831e-06 
 0.00000000e+00  1.51953124e-06  1.19592977e-06 
