 v1              i(Viin)         i(Viout)       
 0.00000000e+00  1.51711616e-06  1.84172677e-11 
 0.00000000e+00  1.51713101e-06  4.33421263e-07 
 1.80000000e+00  1.51712680e-06  4.41771604e-07 
 1.80000000e+00  1.51712592e-06  5.81238126e-07 
 0.00000000e+00  1.51714103e-06  4.57003907e-07 
 0.00000000e+00  1.51716223e-06  6.53446435e-07 
 1.80000000e+00  1.51712625e-06  6.04452481e-07 
 1.80000000e+00  1.51714349e-06  6.69063596e-07 
 0.00000000e+00  1.51713006e-06  4.89108118e-07 
 0.00000000e+00  1.51714681e-06  7.09953909e-07 
 1.80000000e+00  1.51715538e-06  6.90995165e-07 
 1.80000000e+00  1.51714644e-06  7.73359744e-07 
 0.00000000e+00  1.51714239e-06  6.50027701e-07 
 0.00000000e+00  1.51713242e-06  7.86176443e-07 
 1.80000000e+00  1.51714157e-06  7.19104847e-07 
 1.80000000e+00  1.51715030e-06  7.52320673e-07 
 0.00000000e+00  1.51713914e-06  5.54418847e-07 
 0.00000000e+00  1.51716154e-06  7.78892158e-07 
 1.80000000e+00  1.51719169e-06  7.73877602e-07 
 1.80000000e+00  1.51715064e-06  8.57502201e-07 
 0.00000000e+00  1.51715676e-06  7.62987966e-07 
 0.00000000e+00  1.51715358e-06  8.88367495e-07 
 1.80000000e+00  1.51716637e-06  8.46085044e-07 
 1.80000000e+00  1.51716371e-06  8.82068619e-07 
 0.00000000e+00  1.51714984e-06  7.39453768e-07 
 0.00000000e+00  1.51721122e-06  8.95767528e-07 
 1.80000000e+00  1.51716939e-06  8.71222369e-07 
 1.80000000e+00  1.51715913e-06  9.23848390e-07 
 0.00000000e+00  1.51715528e-06  8.18688903e-07 
 0.00000000e+00  1.51715817e-06  9.17711063e-07 
 1.80000000e+00  1.51715801e-06  8.54718905e-07 
 1.80000000e+00  1.51714271e-06  8.71687192e-07 
 0.00000000e+00  1.51715541e-06  6.82507618e-07 
 0.00000000e+00  1.51716124e-06  8.90233153e-07 
 1.80000000e+00  1.51718224e-06  8.91884511e-07 
 1.80000000e+00  1.51715113e-06  9.64062721e-07 
 0.00000000e+00  1.51714563e-06  8.93410657e-07 
 0.00000000e+00  1.51717923e-06  9.98596690e-07 
 1.80000000e+00  1.51716003e-06  9.70134124e-07 
 1.80000000e+00  1.51720015e-06  1.00194126e-06 
 0.00000000e+00  1.51719512e-06  8.99627224e-07 
 0.00000000e+00  1.51718187e-06  1.01835097e-06 
 1.80000000e+00  1.51717228e-06  1.00610332e-06 
 1.80000000e+00  1.51717529e-06  1.04511351e-06 
 0.00000000e+00  1.51721180e-06  9.80080387e-07 
 0.00000000e+00  1.51717649e-06  1.04860436e-06 
 1.80000000e+00  1.51718099e-06  1.01353078e-06 
 1.80000000e+00  1.51717617e-06  1.02802494e-06 
 0.00000000e+00  1.51715845e-06  9.09037354e-07 
 0.00000000e+00  1.51718265e-06  1.03846183e-06 
 1.80000000e+00  1.51717799e-06  1.03340862e-06 
 1.80000000e+00  1.51719682e-06  1.07621754e-06 
 0.00000000e+00  1.51717850e-06  1.02356394e-06 
 0.00000000e+00  1.51718129e-06  1.08835033e-06 
 1.80000000e+00  1.51720221e-06  1.06604588e-06 
 1.80000000e+00  1.51718356e-06  1.08242853e-06 
 0.00000000e+00  1.51718872e-06  9.99770904e-07 
 0.00000000e+00  1.51718461e-06  1.08628095e-06 
 1.80000000e+00  1.51718223e-06  1.07300441e-06 
 1.80000000e+00  1.51719942e-06  1.10048141e-06 
 0.00000000e+00  1.51719895e-06  1.03888914e-06 
 0.00000000e+00  1.51719981e-06  1.09501150e-06 
 1.80000000e+00  1.51720766e-06  1.05708919e-06 
 1.80000000e+00  1.51719657e-06  1.06531914e-06 
