v-sweep,i(Vmeas)
0.00E+00,6.90E-07
1.00E-02,6.90E-07
2.00E-02,6.90E-07
3.00E-02,6.90E-07
4.00E-02,6.90E-07
5.00E-02,6.90E-07
6.00E-02,6.90E-07
7.00E-02,6.89E-07
8.00E-02,6.89E-07
9.00E-02,6.89E-07
1.00E-01,6.89E-07
1.10E-01,6.89E-07
1.20E-01,6.89E-07
1.30E-01,6.89E-07
1.40E-01,6.89E-07
1.50E-01,6.89E-07
1.60E-01,6.89E-07
1.70E-01,6.89E-07
1.80E-01,6.89E-07
1.90E-01,6.89E-07
2.00E-01,6.89E-07
2.10E-01,6.89E-07
2.20E-01,6.89E-07
2.30E-01,6.89E-07
2.40E-01,6.89E-07
2.50E-01,6.89E-07
2.60E-01,6.89E-07
2.70E-01,6.89E-07
2.80E-01,6.89E-07
2.90E-01,6.89E-07
3.00E-01,6.89E-07
3.10E-01,6.89E-07
3.20E-01,6.89E-07
3.30E-01,6.89E-07
3.40E-01,6.89E-07
3.50E-01,6.89E-07
3.60E-01,6.89E-07
3.70E-01,6.89E-07
3.80E-01,6.89E-07
3.90E-01,6.89E-07
4.00E-01,6.89E-07
4.10E-01,6.89E-07
4.20E-01,6.89E-07
4.30E-01,6.89E-07
4.40E-01,6.89E-07
4.50E-01,6.89E-07
4.60E-01,6.89E-07
4.70E-01,6.89E-07
4.80E-01,6.88E-07
4.90E-01,6.88E-07
5.00E-01,6.88E-07
5.10E-01,6.88E-07
5.20E-01,6.88E-07
5.30E-01,6.88E-07
5.40E-01,6.88E-07
5.50E-01,6.88E-07
5.60E-01,6.88E-07
5.70E-01,6.88E-07
5.80E-01,6.88E-07
5.90E-01,6.88E-07
6.00E-01,6.88E-07
6.10E-01,6.88E-07
6.20E-01,6.88E-07
6.30E-01,6.88E-07
6.40E-01,6.88E-07
6.50E-01,6.88E-07
6.60E-01,6.88E-07
6.70E-01,6.88E-07
6.80E-01,6.88E-07
6.90E-01,6.88E-07
7.00E-01,6.88E-07
7.10E-01,6.88E-07
7.20E-01,6.88E-07
7.30E-01,6.88E-07
7.40E-01,6.88E-07
7.50E-01,6.88E-07
7.60E-01,6.88E-07
7.70E-01,6.88E-07
7.80E-01,6.88E-07
7.90E-01,6.88E-07
8.00E-01,6.88E-07
8.10E-01,6.88E-07
8.20E-01,6.88E-07
8.30E-01,6.87E-07
8.40E-01,6.87E-07
8.50E-01,6.87E-07
8.60E-01,6.87E-07
8.70E-01,6.87E-07
8.80E-01,6.87E-07
8.90E-01,6.87E-07
9.00E-01,6.87E-07
9.10E-01,6.87E-07
9.20E-01,6.87E-07
9.30E-01,6.87E-07
9.40E-01,6.87E-07
9.50E-01,6.87E-07
9.60E-01,6.87E-07
9.70E-01,6.87E-07
9.80E-01,6.87E-07
9.90E-01,6.87E-07
1.00E+00,6.87E-07
1.01E+00,6.87E-07
1.02E+00,6.87E-07
1.03E+00,6.87E-07
1.04E+00,6.87E-07
1.05E+00,6.87E-07
1.06E+00,6.87E-07
1.07E+00,6.87E-07
1.08E+00,6.87E-07
1.09E+00,6.87E-07
1.10E+00,6.87E-07
1.11E+00,6.86E-07
1.12E+00,6.86E-07
1.13E+00,6.86E-07
1.14E+00,6.86E-07
1.15E+00,6.86E-07
1.16E+00,6.86E-07
1.17E+00,6.86E-07
1.18E+00,6.86E-07
1.19E+00,6.86E-07
1.20E+00,6.86E-07
1.21E+00,6.86E-07
1.22E+00,6.86E-07
1.23E+00,6.86E-07
1.24E+00,6.86E-07
1.25E+00,6.86E-07
1.26E+00,6.86E-07
1.27E+00,6.86E-07
1.28E+00,6.86E-07
1.29E+00,6.86E-07
1.30E+00,6.86E-07
1.31E+00,6.86E-07
1.32E+00,6.85E-07
1.33E+00,6.85E-07
1.34E+00,6.85E-07
1.35E+00,6.85E-07
1.36E+00,6.85E-07
1.37E+00,6.85E-07
1.38E+00,6.85E-07
1.39E+00,6.85E-07
1.40E+00,6.85E-07
1.41E+00,6.85E-07
1.42E+00,6.85E-07
1.43E+00,6.85E-07
1.44E+00,6.85E-07
1.45E+00,6.84E-07
1.46E+00,6.84E-07
1.47E+00,6.84E-07
1.48E+00,6.84E-07
1.49E+00,6.84E-07
1.50E+00,6.84E-07
1.51E+00,6.84E-07
1.52E+00,6.84E-07
1.53E+00,6.83E-07
1.54E+00,6.83E-07
1.55E+00,6.83E-07
1.56E+00,6.83E-07
1.57E+00,6.82E-07
1.58E+00,6.82E-07
1.59E+00,6.82E-07
1.60E+00,6.81E-07
1.61E+00,6.80E-07
1.62E+00,6.80E-07
1.63E+00,6.79E-07
1.64E+00,6.77E-07
1.65E+00,6.76E-07
1.66E+00,6.73E-07
1.67E+00,6.70E-07
1.68E+00,6.64E-07
1.69E+00,6.57E-07
1.70E+00,6.45E-07
1.71E+00,6.29E-07
1.72E+00,6.05E-07
1.73E+00,5.73E-07
1.74E+00,5.30E-07
1.75E+00,4.76E-07
1.76E+00,4.10E-07
1.77E+00,3.30E-07
1.78E+00,2.36E-07
1.79E+00,1.26E-07
1.80E+00,0.00E+00
